model,MAE,RMSE,R2
baseline,2.4595944041668076,3.619666362095348,-0.3626606129799488
linear,1.6402598720768076,2.5840870970517438,0.30551173075683014
random_forest,1.45914043478084,2.461524442335399,0.3698282584494117
