race_ethnicity,n,MAE,mean_residual,reliable_n
American Indian/Alaska Native,28,4.154867637020515,3.593795327091423,True
Asian,30,0.5841375299133484,0.047120185524795195,True
Black,41,1.254393708886299,0.17052823852033727,True
Two or more races,47,1.1445488657333207,0.2651137910570471,True
White,51,0.9483589640009075,-0.1538566996600351,True
