state,poverty_rate,poverty_rate_moe,insurance_rate,insurance_rate_moe,fips,acs_data_source,acs_source_period
South Dakota,15.8,0.8,6.7,0.5,46,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Tennessee,19.9,0.5,5.2,0.2,47,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Texas,19.6,0.3,11.5,0.2,48,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Utah,9.3,0.4,7.2,0.3,49,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Vermont,11.4,0.8,1.6,0.3,50,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Virginia,13.0,0.3,4.9,0.2,51,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Washington,12.4,0.4,2.9,0.2,53,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
West Virginia,22.4,0.9,3.0,0.3,54,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Wisconsin,13.5,0.4,3.9,0.1,55,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Wyoming,12.8,1.1,9.3,1.0,56,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
